idi,idj,farmi,farmj,bmai,bmaj,dij1,dij2,dij3,dij4,dij5,dij6,dij7,dij8,dij9,dij10,dij11,dij12,dij13,dij14,fbi,fbj,farmij,bma1
19,71,349,496,2B,3A,40689.387,1774.6711,1766.2397,1759.4249,40690.613,40811.129,48942.973,113738.92,199639.44,160110.28,159964.27,159705.52,158733.55,40604.676,3-349,4-496,349496,
19,66,349,501,2B,3A,48778.336,2510.3743,2491.665,2472.2253,48779.457,48889.625,56899.227,125693.82,220683.75,203275.95,202781.64,202421.19,202128.56,48746.57,3-349,4-501,349501,
19,69,349,507,2B,3A,45456.055,2045.4535,2036.4569,2021.8877,45457.008,45550.27,52409.305,118339.27,207434.14,176316.33,175928.98,175366.98,173739.38,45385.902,3-349,4-507,349507,
19,47,349,186,2B,3C,31933.689,1598.8208,1576.094,1555.2538,31941.699,32561.146,48925.199,152960.17,290845.44,176424.56,175981.66,175315.2,174261.53,31864.121,3-349,6-186,349186,
19,46,349,206,2B,3C,31026.105,1565.6145,1536.2332,1504.0253,31032.766,31536.838,46782.844,145831.34,277115.41,165762.53,165198.44,164374.94,162787.61,30971.492,3-349,6-206,349206,
21,25,350,168,2B,1,32915.273,1406.941,1365.2944,1315.0287,32921.934,33532.047,49124.727,146081.16,276461.19,84015.992,82783.422,83126.523,84202.117,32890.492,3-350,1-168,350168,
21,39,350,179,2B,1,46357.77,2205.9026,2167.1636,2126.5779,46367.797,47287.922,67799.891,194195.17,358729.06,210932.89,208190.89,205788.45,202382.48,46355.691,3-350,1-179,350179,
21,45,350,215,2B,1,38655.184,1905.4807,1892.3468,1883.556,38663.91,39457.988,56917.168,161076.77,297017.34,200116.7,198894.47,197569.16,195368.19,38688.863,3-350,1-215,350215,
21,40,350,222,2B,1,45146.324,2153.8933,2107.3826,2069.6069,45156.242,46065.707,66312.094,192463.69,357575.41,208560.31,205893.22,203494.14,200649.17,45148.523,3-350,1-222,350222,
21,41,350,228,2B,1,44416.695,2106.2539,2071.7698,2040.9968,44426.582,45333.055,65367.113,190174.58,353365.72,206535.17,203936.22,201859.95,199125.83,44400.035,3-350,1-228,350228,
